ID,prob-0.0,prob-0.01,prob-0.02,prob-0.03,prob-0.04,prob-0.05,prob-0.06,prob-0.07,prob-0.08,prob-0.09,prob-0.1,prob-0.11,prob-0.12,prob-0.13,prob-0.14,prob-0.15,prob-0.16,prob-0.17,prob-0.18,prob-0.19,prob-0.2,prob-0.21,prob-0.22,prob-0.23,prob-0.24,prob-0.25,prob-0.26,prob-0.27,prob-0.28,prob-0.29,prob-0.3,prob-0.31,prob-0.32,prob-0.33,prob-0.34,prob-0.35,prob-0.36,prob-0.37,prob-0.38,prob-0.39,prob-0.4,prob-0.41,prob-0.42,prob-0.43,prob-0.44,prob-0.45,prob-0.46,prob-0.47,prob-0.48,prob-0.49,prob-0.5,prob-0.51,prob-0.52,prob-0.53,prob-0.54,prob-0.55,prob-0.56,prob-0.57,prob-0.58,prob-0.59,prob-0.6,prob-0.61,prob-0.62,prob-0.63,prob-0.64,prob-0.65,prob-0.66,prob-0.67,prob-0.68,prob-0.69,prob-0.7,prob-0.71,prob-0.72,prob-0.73,prob-0.74,prob-0.75,prob-0.76,prob-0.77,prob-0.78,prob-0.79,prob-0.8,prob-0.81,prob-0.82,prob-0.83,prob-0.84,prob-0.85,prob-0.86,prob-0.87,prob-0.88,prob-0.89,prob-0.9,prob-0.91,prob-0.92,prob-0.93,prob-0.94,prob-0.95,prob-0.96,prob-0.97,prob-0.98,prob-0.99,prob-1.0
J07A0929,0.025,0.04,0.05,0.045,0.06,0.07,0.07,0.05,0.02,0.06,0.045,0.03,0.03,0.03,0.03,0.045,0.03,0.015,0.03,0.025,0.015,0.01,0.02,0.02,0.02,0.005,0.01,0.005,0.015,0.01,0.01,0.0,0.005,0.005,0.005,0.005,0.005,0.0,0.005,0.005,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J07A0930,0.0033003300330033004,0.013201320132013201,0.026402640264026403,0.0165016501650165,0.036303630363036306,0.0231023102310231,0.0297029702970297,0.0429042904290429,0.04950495049504951,0.0429042904290429,0.033003300330033,0.0231023102310231,0.039603960396039604,0.009900990099009901,0.019801980198019802,0.019801980198019802,0.0594059405940594,0.033003300330033,0.019801980198019802,0.026402640264026403,0.039603960396039604,0.0297029702970297,0.019801980198019802,0.0231023102310231,0.013201320132013201,0.0165016501650165,0.0033003300330033004,0.026402640264026403,0.033003300330033,0.0165016501650165,0.013201320132013201,0.006600660066006601,0.0033003300330033004,0.009900990099009901,0.026402640264026403,0.013201320132013201,0.0165016501650165,0.0165016501650165,0.013201320132013201,0.006600660066006601,0.009900990099009901,0.009900990099009901,0.0033003300330033004,0.006600660066006601,0.0033003300330033004,0.006600660066006601,0.0,0.0033003300330033004,0.0033003300330033004,0.009900990099009901,0.0,0.009900990099009901,0.0,0.0033003300330033004,0.0,0.0,0.0,0.0,0.0,0.0,0.006600660066006601,0.0,0.0033003300330033004,0.0,0.0033003300330033004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033003300330033004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J07A0933,0.0,0.0,0.0041753653444676405,0.008350730688935281,0.0,0.0041753653444676405,0.022964509394572025,0.008350730688935281,0.016701461377870562,0.012526096033402923,0.006263048016701462,0.020876826722338204,0.016701461377870562,0.022964509394572025,0.014613778705636743,0.010438413361169102,0.014613778705636743,0.014613778705636743,0.012526096033402923,0.018789144050104383,0.027139874739039668,0.008350730688935281,0.008350730688935281,0.010438413361169102,0.014613778705636743,0.008350730688935281,0.008350730688935281,0.014613778705636743,0.016701461377870562,0.008350730688935281,0.008350730688935281,0.006263048016701462,0.020876826722338204,0.010438413361169102,0.018789144050104383,0.006263048016701462,0.018789144050104383,0.014613778705636743,0.014613778705636743,0.008350730688935281,0.014613778705636743,0.018789144050104383,0.014613778705636743,0.006263048016701462,0.0,0.018789144050104383,0.014613778705636743,0.006263048016701462,0.016701461377870562,0.0041753653444676405,0.0041753653444676405,0.012526096033402923,0.016701461377870562,0.006263048016701462,0.008350730688935281,0.012526096033402923,0.0041753653444676405,0.0041753653444676405,0.006263048016701462,0.010438413361169102,0.014613778705636743,0.010438413361169102,0.014613778705636743,0.012526096033402923,0.010438413361169102,0.014613778705636743,0.006263048016701462,0.008350730688935281,0.016701461377870562,0.006263048016701462,0.010438413361169102,0.0041753653444676405,0.016701461377870562,0.006263048016701462,0.008350730688935281,0.0041753653444676405,0.010438413361169102,0.0020876826722338203,0.0041753653444676405,0.0041753653444676405,0.0041753653444676405,0.008350730688935281,0.008350730688935281,0.0041753653444676405,0.008350730688935281,0.006263048016701462,0.0,0.006263048016701462,0.008350730688935281,0.008350730688935281,0.012526096033402923,0.008350730688935281,0.008350730688935281,0.0041753653444676405,0.0020876826722338203,0.0041753653444676405,0.010438413361169102,0.0020876826722338203,0.014613778705636743,0.0020876826722338203,0.0
J07A0934,0.0,0.0,0.010309278350515464,0.020618556701030927,0.08247422680412371,0.020618556701030927,0.030927835051546393,0.0,0.010309278350515464,0.030927835051546393,0.020618556701030927,0.030927835051546393,0.020618556701030927,0.020618556701030927,0.020618556701030927,0.020618556701030927,0.030927835051546393,0.061855670103092786,0.030927835051546393,0.010309278350515464,0.07216494845360824,0.05154639175257732,0.020618556701030927,0.041237113402061855,0.030927835051546393,0.010309278350515464,0.030927835051546393,0.030927835051546393,0.010309278350515464,0.010309278350515464,0.05154639175257732,0.0,0.0,0.030927835051546393,0.030927835051546393,0.010309278350515464,0.0,0.010309278350515464,0.0,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J07A0935,0.006928406466512702,0.02771362586605081,0.02771362586605081,0.025404157043879907,0.050808314087759814,0.04387990762124711,0.04849884526558892,0.046189376443418015,0.04157043879907621,0.050808314087759814,0.03233256351039261,0.04387990762124711,0.04157043879907621,0.03695150115473441,0.04387990762124711,0.018475750577367205,0.03464203233256351,0.025404157043879907,0.025404157043879907,0.025404157043879907,0.020785219399538105,0.03002309468822171,0.013856812933025405,0.016166281755196306,0.023094688221709007,0.013856812933025405,0.023094688221709007,0.011547344110854504,0.013856812933025405,0.011547344110854504,0.006928406466512702,0.011547344110854504,0.006928406466512702,0.0,0.006928406466512702,0.0023094688221709007,0.013856812933025405,0.004618937644341801,0.004618937644341801,0.0023094688221709007,0.006928406466512702,0.0023094688221709007,0.004618937644341801,0.004618937644341801,0.011547344110854504,0.0023094688221709007,0.006928406466512702,0.0,0.0023094688221709007,0.0023094688221709007,0.0023094688221709007,0.0023094688221709007,0.0023094688221709007,0.0,0.0023094688221709007,0.0,0.0,0.0,0.0023094688221709007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004618937644341801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023094688221709007,0.0,0.0023094688221709007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J07A0936,0.0,0.004347826086956522,0.017391304347826087,0.015217391304347827,0.034782608695652174,0.017391304347826087,0.03260869565217391,0.04782608695652174,0.02826086956521739,0.02826086956521739,0.043478260869565216,0.01956521739130435,0.03260869565217391,0.006521739130434782,0.05434782608695652,0.01956521739130435,0.02608695652173913,0.030434782608695653,0.021739130434782608,0.02608695652173913,0.043478260869565216,0.01956521739130435,0.03260869565217391,0.03260869565217391,0.010869565217391304,0.017391304347826087,0.010869565217391304,0.017391304347826087,0.02826086956521739,0.010869565217391304,0.021739130434782608,0.017391304347826087,0.017391304347826087,0.004347826086956522,0.021739130434782608,0.017391304347826087,0.015217391304347827,0.006521739130434782,0.02826086956521739,0.006521739130434782,0.008695652173913044,0.008695652173913044,0.010869565217391304,0.008695652173913044,0.004347826086956522,0.002173913043478261,0.002173913043478261,0.008695652173913044,0.0,0.013043478260869565,0.006521739130434782,0.002173913043478261,0.006521739130434782,0.0,0.0,0.002173913043478261,0.006521739130434782,0.002173913043478261,0.002173913043478261,0.002173913043478261,0.0,0.002173913043478261,0.002173913043478261,0.006521739130434782,0.002173913043478261,0.002173913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J07A0937,0.00641025641025641,0.00641025641025641,0.02564102564102564,0.022435897435897436,0.04487179487179487,0.035256410256410256,0.05128205128205128,0.057692307692307696,0.03205128205128205,0.028846153846153848,0.038461538461538464,0.03205128205128205,0.057692307692307696,0.03205128205128205,0.04807692307692308,0.035256410256410256,0.02564102564102564,0.028846153846153848,0.022435897435897436,0.035256410256410256,0.028846153846153848,0.028846153846153848,0.016025641025641024,0.022435897435897436,0.03205128205128205,0.016025641025641024,0.01282051282051282,0.003205128205128205,0.016025641025641024,0.016025641025641024,0.009615384615384616,0.01282051282051282,0.003205128205128205,0.00641025641025641,0.019230769230769232,0.01282051282051282,0.00641025641025641,0.003205128205128205,0.01282051282051282,0.0,0.00641025641025641,0.00641025641025641,0.01282051282051282,0.0,0.003205128205128205,0.0,0.003205128205128205,0.003205128205128205,0.0,0.003205128205128205,0.0,0.003205128205128205,0.003205128205128205,0.0,0.0,0.0,0.0,0.0,0.003205128205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.003205128205128205,0.003205128205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J07A0939,0.0,0.01293103448275862,0.01293103448275862,0.008620689655172414,0.017241379310344827,0.03017241379310345,0.034482758620689655,0.03879310344827586,0.034482758620689655,0.04741379310344827,0.03017241379310345,0.034482758620689655,0.02586206896551724,0.03017241379310345,0.03879310344827586,0.01293103448275862,0.05603448275862069,0.01293103448275862,0.03017241379310345,0.03017241379310345,0.02586206896551724,0.017241379310344827,0.0603448275862069,0.03017241379310345,0.008620689655172414,0.021551724137931036,0.021551724137931036,0.01293103448275862,0.017241379310344827,0.008620689655172414,0.021551724137931036,0.021551724137931036,0.01293103448275862,0.017241379310344827,0.004310344827586207,0.01293103448275862,0.004310344827586207,0.004310344827586207,0.021551724137931036,0.008620689655172414,0.017241379310344827,0.0,0.01293103448275862,0.0,0.004310344827586207,0.004310344827586207,0.004310344827586207,0.01293103448275862,0.0,0.0,0.008620689655172414,0.008620689655172414,0.0,0.004310344827586207,0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.004310344827586207,0.004310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004310344827586207,0.0,0.0,0.0,0.0,0.004310344827586207,0.0,0.0,0.0,0.004310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J07A0940,0.0024096385542168677,0.00963855421686747,0.02650602409638554,0.02650602409638554,0.05060240963855422,0.02891566265060241,0.02891566265060241,0.04819277108433735,0.02891566265060241,0.04819277108433735,0.02891566265060241,0.04819277108433735,0.04578313253012048,0.016867469879518072,0.02891566265060241,0.03614457831325301,0.02650602409638554,0.03132530120481928,0.016867469879518072,0.03132530120481928,0.02650602409638554,0.021686746987951807,0.016867469879518072,0.021686746987951807,0.033734939759036145,0.016867469879518072,0.014457831325301205,0.00963855421686747,0.012048192771084338,0.012048192771084338,0.016867469879518072,0.007228915662650603,0.007228915662650603,0.007228915662650603,0.014457831325301205,0.012048192771084338,0.00963855421686747,0.00963855421686747,0.004819277108433735,0.0,0.004819277108433735,0.014457831325301205,0.0024096385542168677,0.014457831325301205,0.0024096385542168677,0.007228915662650603,0.00963855421686747,0.0,0.0024096385542168677,0.0024096385542168677,0.0,0.004819277108433735,0.0024096385542168677,0.0024096385542168677,0.004819277108433735,0.004819277108433735,0.0024096385542168677,0.0,0.004819277108433735,0.0024096385542168677,0.0,0.0,0.0024096385542168677,0.0,0.0,0.0024096385542168677,0.0024096385542168677,0.00963855421686747,0.0,0.0,0.004819277108433735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024096385542168677,0.0,0.0,0.0,0.0024096385542168677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J07A0941,0.04395604395604396,0.04945054945054945,0.07692307692307693,0.08791208791208792,0.04945054945054945,0.06043956043956044,0.08791208791208792,0.09340659340659341,0.04945054945054945,0.06043956043956044,0.027472527472527472,0.038461538461538464,0.03296703296703297,0.016483516483516484,0.016483516483516484,0.005494505494505495,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.016483516483516484,0.016483516483516484,0.02197802197802198,0.01098901098901099,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.005494505494505495,0.005494505494505495,0.005494505494505495,0.01098901098901099,0.0,0.0,0.005494505494505495,0.005494505494505495,0.005494505494505495,0.0,0.005494505494505495,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
