covariate,HR,HR lower 95%,HR upper 95%,pvalue
prob058,1.3789517865405536,1.1212480874503,1.695885193371775,0.0023331879349518833
prob05,1.6772910773545082,1.335811933162649,2.1060639513170885,8.473071793937135e-06
pred1,1.8062188846642355,1.4706482088960855,2.2183596590829797,1.719928236445542e-08
