ID,label-0,label-1
J07A1107,0.764,0.236
J07A1107,0.797,0.20299999999999996
J07A1107,0.798,0.20199999999999996
J07A1107,0.829,0.17100000000000004
J07A1107,0.714,0.28600000000000003
J07A1107,0.796,0.20399999999999996
J07A1107,0.898,0.10199999999999998
J07A1107,0.841,0.15900000000000003
J07A1107,0.809,0.19099999999999995
J07A1107,0.869,0.131
J07A1107,0.822,0.17800000000000005
J07A1107,0.86,0.14
J07A1107,0.796,0.20399999999999996
J07A1107,0.786,0.21399999999999997
J07A1107,0.781,0.21899999999999997
J07A1107,0.817,0.18300000000000005
J07A1107,0.819,0.18100000000000005
J07A1107,0.823,0.17700000000000005
J07A1107,0.745,0.255
J07A1107,0.766,0.23399999999999999
J07A1107,0.744,0.256
J07A1107,0.749,0.251
J07A1107,0.814,0.18600000000000005
J07A1107,0.84,0.16000000000000003
J07A1107,0.813,0.18700000000000006
J07A1107,0.816,0.18400000000000005
J07A1107,0.872,0.128
J07A1107,0.805,0.19499999999999995
J07A1107,0.866,0.134
J07A1107,0.754,0.246
J07A1107,0.805,0.19499999999999995
J07A1107,0.779,0.22099999999999997
J07A1107,0.811,0.18899999999999995
J07A1107,0.732,0.268
J07A1107,0.762,0.238
J07A1107,0.566,0.43400000000000005
J07A1107,0.902,0.09799999999999998
J07A1107,0.746,0.254
J07A1107,0.798,0.20199999999999996
J07A1107,0.813,0.18700000000000006
J07A1107,0.78,0.21999999999999997
J07A1107,0.698,0.30200000000000005
J07A1107,0.849,0.15100000000000002
J07A1107,0.785,0.21499999999999997
J07A1107,0.822,0.17800000000000005
J07A1107,0.795,0.20499999999999996
J07A1107,0.827,0.17300000000000004
J07A1107,0.821,0.17900000000000005
J07A1107,0.788,0.21199999999999997
J07A1107,0.832,0.16800000000000004
J07A1107,0.762,0.238
J07A1107,0.883,0.11699999999999999
J07A1107,0.824,0.17600000000000005
J07A1107,0.854,0.14600000000000002
J07A1107,0.841,0.15900000000000003
J07A1107,0.873,0.127
J07A1107,0.774,0.22599999999999998
J07A1107,0.803,0.19699999999999995
J07A1107,0.751,0.249
J07A1107,0.776,0.22399999999999998
J07A1107,0.875,0.125
J07A1107,0.759,0.241
J07A1107,0.818,0.18200000000000005
J07A1107,0.785,0.21499999999999997
J07A1107,0.848,0.15200000000000002
J07A1107,0.807,0.19299999999999995
J07A1107,0.806,0.19399999999999995
J07A1107,0.785,0.21499999999999997
J07A1107,0.869,0.131
J07A1107,0.839,0.16100000000000003
J07A1107,0.84,0.16000000000000003
J07A1107,0.803,0.19699999999999995
J07A1107,0.858,0.14200000000000002
J07A1107,0.844,0.15600000000000003
J07A1107,0.807,0.19299999999999995
J07A1107,0.855,0.14500000000000002
J07A1107,0.808,0.19199999999999995
J07A1107,0.806,0.19399999999999995
J07A1107,0.786,0.21399999999999997
J07A1107,0.782,0.21799999999999997
J07A1107,0.856,0.14400000000000002
J07A1107,0.803,0.19699999999999995
J07A1107,0.772,0.22799999999999998
J07A1107,0.805,0.19499999999999995
J07A1107,0.82,0.18000000000000005
J07A1107,0.811,0.18899999999999995
J07A1107,0.761,0.239
J07A1107,0.753,0.247
J07A1107,0.838,0.16200000000000003
J07A1107,0.777,0.22299999999999998
J07A1107,0.815,0.18500000000000005
J07A1107,0.735,0.265
J07A1107,0.882,0.118
J07A1107,0.795,0.20499999999999996
J07A1107,0.818,0.18200000000000005
J07A1107,0.918,0.08199999999999996
J07A1107,0.804,0.19599999999999995
J07A1107,0.838,0.16200000000000003
J07A1107,0.834,0.16600000000000004
J07A1107,0.83,0.17000000000000004
J07A1107,0.814,0.18600000000000005
J07A1107,0.85,0.15000000000000002
J07A1107,0.795,0.20499999999999996
J07A1107,0.795,0.20499999999999996
J07A1107,0.674,0.32599999999999996
J07A1107,0.793,0.20699999999999996
J07A1107,0.805,0.19499999999999995
J07A1107,0.773,0.22699999999999998
J07A1107,0.76,0.24
J07A1107,0.771,0.22899999999999998
J07A1107,0.818,0.18200000000000005
J07A1107,0.837,0.16300000000000003
J07A1107,0.795,0.20499999999999996
J07A1107,0.799,0.20099999999999996
J07A1107,0.797,0.20299999999999996
J07A1107,0.823,0.17700000000000005
J07A1107,0.876,0.124
J07A1107,0.852,0.14800000000000002
J07A1107,0.898,0.10199999999999998
J07A1107,0.843,0.15700000000000003
J07A1107,0.777,0.22299999999999998
J07A1107,0.786,0.21399999999999997
J07A1107,0.81,0.18999999999999995
J07A1107,0.777,0.22299999999999998
J07A1107,0.733,0.267
J07A1107,0.916,0.08399999999999996
J07A1107,0.826,0.17400000000000004
J07A1107,0.793,0.20699999999999996
J07A1107,0.791,0.20899999999999996
J07A1107,0.821,0.17900000000000005
J07A1107,0.783,0.21699999999999997
J07A1107,0.825,0.17500000000000004
J07A1107,0.805,0.19499999999999995
J07A1107,0.811,0.18899999999999995
J07A1107,0.785,0.21499999999999997
J07A1107,0.781,0.21899999999999997
J07A1107,0.874,0.126
J07A1107,0.81,0.18999999999999995
J07A1107,0.902,0.09799999999999998
J07A1107,0.881,0.119
J07A1107,0.835,0.16500000000000004
J07A1107,0.942,0.05800000000000005
J07A1107,0.87,0.13
J07A1107,0.817,0.18300000000000005
J07A1107,0.867,0.133
J07A1107,0.827,0.17300000000000004
J07A1107,0.816,0.18400000000000005
J07A1107,0.795,0.20499999999999996
J07A1107,0.773,0.22699999999999998
J07A1107,0.905,0.09499999999999997
J07A1107,0.8,0.19999999999999996
J07A1107,0.813,0.18700000000000006
J07A1107,0.773,0.22699999999999998
J07A1107,0.806,0.19399999999999995
J07A1107,0.773,0.22699999999999998
J07A1107,0.836,0.16400000000000003
J07A1107,0.702,0.29800000000000004
J07A1107,0.768,0.23199999999999998
J07A1107,0.831,0.16900000000000004
J07A1107,0.85,0.15000000000000002
J07A1107,0.836,0.16400000000000003
J07A1107,0.87,0.13
J07A1107,0.797,0.20299999999999996
J07A1107,0.802,0.19799999999999995
J07A1107,0.902,0.09799999999999998
J07A1107,0.888,0.11199999999999999
J07A1107,0.817,0.18300000000000005
J07A1107,0.879,0.121
J07A1107,0.783,0.21699999999999997
J07A1107,0.76,0.24
J07A1107,0.884,0.11599999999999999
J07A1107,0.799,0.20099999999999996
J07A1107,0.852,0.14800000000000002
J07A1107,0.838,0.16200000000000003
J07A1107,0.818,0.18200000000000005
J07A1107,0.825,0.17500000000000004
J07A1107,0.843,0.15700000000000003
J07A1107,0.789,0.21099999999999997
J07A1107,0.809,0.19099999999999995
J07A1107,0.793,0.20699999999999996
J07A1107,0.814,0.18600000000000005
J07A1107,0.846,0.15400000000000003
J07A1107,0.805,0.19499999999999995
J07A1107,0.852,0.14800000000000002
J07A1107,0.827,0.17300000000000004
J07A1107,0.813,0.18700000000000006
J07A1107,0.803,0.19699999999999995
J07A1107,0.659,0.34099999999999997
J07A1107,0.789,0.21099999999999997
J07A1107,0.823,0.17700000000000005
J07A1107,0.79,0.20999999999999996
J07A1107,0.837,0.16300000000000003
J07A1107,0.81,0.18999999999999995
J07A1107,0.832,0.16800000000000004
J07A1107,0.833,0.16700000000000004
J07A1107,0.87,0.13
J07A1107,0.831,0.16900000000000004
J07A1107,0.896,0.10399999999999998
J07A1107,0.833,0.16700000000000004
J07A1107,0.798,0.20199999999999996
J07A1107,0.818,0.18200000000000005
J07A1107,0.801,0.19899999999999995
J07A1107,0.778,0.22199999999999998
J07A1107,0.776,0.22399999999999998
J07A1107,0.791,0.20899999999999996
J07A1107,0.816,0.18400000000000005
J07A1107,0.702,0.29800000000000004
J07A1107,0.811,0.18899999999999995
J07A1107,0.801,0.19899999999999995
J07A1107,0.806,0.19399999999999995
J07A1107,0.906,0.09399999999999997
J07A1107,0.792,0.20799999999999996
J07A1107,0.816,0.18400000000000005
J07A1107,0.798,0.20199999999999996
J07A1107,0.762,0.238
J07A1107,0.783,0.21699999999999997
J07A1107,0.8,0.19999999999999996
J07A1107,0.827,0.17300000000000004
J07A1107,0.803,0.19699999999999995
J07A1107,0.837,0.16300000000000003
J07A1107,0.843,0.15700000000000003
J07A1107,0.782,0.21799999999999997
J07A1107,0.75,0.25
J07A1107,0.735,0.265
J07A1107,0.868,0.132
J07A1107,0.758,0.242
J07A1107,0.74,0.26
J07A1107,0.782,0.21799999999999997
J07A1107,0.786,0.21399999999999997
J07A1107,0.797,0.20299999999999996
J07A1107,0.782,0.21799999999999997
J07A1107,0.889,0.11099999999999999
J07A1107,0.847,0.15300000000000002
J07A1107,0.9,0.09999999999999998
J07A1107,0.738,0.262
J07A1107,0.905,0.09499999999999997
J07A1107,0.835,0.16500000000000004
J07A1107,0.691,0.30900000000000005
J07A1107,0.844,0.15600000000000003
J07A1107,0.802,0.19799999999999995
J07A1107,0.913,0.08699999999999997
J07A1107,0.859,0.14100000000000001
J07A1107,0.789,0.21099999999999997
J07A1107,0.76,0.24
J07A1107,0.778,0.22199999999999998
J07A1107,0.791,0.20899999999999996
J07A1107,0.821,0.17900000000000005
J07A1107,0.731,0.269
J07A1107,0.792,0.20799999999999996
J07A1107,0.776,0.22399999999999998
J07A1107,0.797,0.20299999999999996
J07A1107,0.773,0.22699999999999998
J07A1107,0.86,0.14
J07A1107,0.82,0.18000000000000005
J07A1107,0.764,0.236
J07A1107,0.85,0.15000000000000002
J07A1107,0.837,0.16300000000000003
J07A1107,0.811,0.18899999999999995
J07A1107,0.767,0.23299999999999998
J07A1107,0.757,0.243
J07A1107,0.924,0.07599999999999996
J07A1107,0.833,0.16700000000000004
J07A1107,0.817,0.18300000000000005
J07A1107,0.841,0.15900000000000003
J07A1107,0.833,0.16700000000000004
J07A1107,0.858,0.14200000000000002
J07A1107,0.779,0.22099999999999997
J07A1107,0.808,0.19199999999999995
J07A1107,0.836,0.16400000000000003
J07A1107,0.745,0.255
J07A1107,0.758,0.242
J07A1107,0.855,0.14500000000000002
J07A1107,0.819,0.18100000000000005
J07A1107,0.74,0.26
J07A1107,0.844,0.15600000000000003
J07A1107,0.769,0.23099999999999998
J07A1107,0.726,0.274
J07A1107,0.822,0.17800000000000005
J07A1107,0.792,0.20799999999999996
J07A1107,0.796,0.20399999999999996
J07A1107,0.808,0.19199999999999995
J07A1107,0.783,0.21699999999999997
J07A1107,0.743,0.257
J07A1107,0.681,0.31899999999999995
J07A1107,0.834,0.16600000000000004
J07A1107,0.744,0.256
J07A1107,0.761,0.239
J07A1107,0.831,0.16900000000000004
J07A1107,0.858,0.14200000000000002
J07A1107,0.776,0.22399999999999998
J07A1107,0.743,0.257
J07A1107,0.784,0.21599999999999997
J07A1107,0.821,0.17900000000000005
J07A1107,0.832,0.16800000000000004
J07A1107,0.745,0.255
J07A1107,0.801,0.19899999999999995
J07A1107,0.795,0.20499999999999996
J07A1107,0.734,0.266
J07A1107,0.93,0.06999999999999995
J07A1107,0.62,0.38
J07A1107,0.815,0.18500000000000005
J07A1107,0.868,0.132
J07A1107,0.723,0.277
J07A1107,0.768,0.23199999999999998
J07A1107,0.747,0.253
J07A1107,0.794,0.20599999999999996
J07A1107,0.805,0.19499999999999995
J07A1107,0.782,0.21799999999999997
J07A1107,0.664,0.33599999999999997
J07A1107,0.812,0.18799999999999994
J07A1107,0.842,0.15800000000000003
J07A1107,0.839,0.16100000000000003
J07A1107,0.802,0.19799999999999995
J07A1107,0.89,0.10999999999999999
J07A1107,0.874,0.126
J07A1107,0.743,0.257
J07A1107,0.804,0.19599999999999995
J07A1107,0.805,0.19499999999999995
J07A1107,0.936,0.06399999999999995
J07A1107,0.904,0.09599999999999997
J07A1107,0.772,0.22799999999999998
J07A1107,0.905,0.09499999999999997
J07A1107,0.802,0.19799999999999995
J07A1107,0.755,0.245
J07A1107,0.893,0.10699999999999998
J07A1107,0.896,0.10399999999999998
J07A1107,0.714,0.28600000000000003
J07A1107,0.867,0.133
J07A1107,0.858,0.14200000000000002
J07A1107,0.812,0.18799999999999994
J07A1107,0.781,0.21899999999999997
J07A1107,0.749,0.251
J07A1107,0.798,0.20199999999999996
J07A1107,0.793,0.20699999999999996
J07A1107,0.717,0.28300000000000003
J07A1107,0.829,0.17100000000000004
J07A1107,0.712,0.28800000000000003
J07A1107,0.833,0.16700000000000004
J07A1107,0.744,0.256
J07A1107,0.788,0.21199999999999997
J07A1107,0.699,0.30100000000000005
J07A1107,0.701,0.29900000000000004
J07A1107,0.774,0.22599999999999998
J07A1107,0.805,0.19499999999999995
J07A1107,0.797,0.20299999999999996
J07A1107,0.781,0.21899999999999997
J07A1107,0.815,0.18500000000000005
J07A1107,0.853,0.14700000000000002
J07A1107,0.777,0.22299999999999998
J07A1107,0.811,0.18899999999999995
J07A1107,0.795,0.20499999999999996
J07A1107,0.854,0.14600000000000002
J07A1107,0.783,0.21699999999999997
J07A1107,0.763,0.237
J07A1107,0.76,0.24
J07A1107,0.815,0.18500000000000005
J07A1107,0.771,0.22899999999999998
J07A1107,0.753,0.247
J07A1107,0.812,0.18799999999999994
J07A1107,0.79,0.20999999999999996
J07A1107,0.81,0.18999999999999995
J07A1107,0.79,0.20999999999999996
J07A1107,0.771,0.22899999999999998
J07A1107,0.803,0.19699999999999995
J07A1107,0.805,0.19499999999999995
J07A1107,0.802,0.19799999999999995
J07A1107,0.751,0.249
J07A1107,0.76,0.24
J07A1107,0.872,0.128
J07A1107,0.788,0.21199999999999997
J07A1107,0.832,0.16800000000000004
J07A1107,0.756,0.244
J07A1107,0.776,0.22399999999999998
J07A1107,0.764,0.236
J07A1107,0.766,0.23399999999999999
J07A1107,0.866,0.134
J07A1107,0.682,0.31799999999999995
J07A1107,0.754,0.246
J07A1107,0.73,0.27
J07A1107,0.841,0.15900000000000003
J07A1107,0.786,0.21399999999999997
J07A1107,0.838,0.16200000000000003
J07A1107,0.749,0.251
J07A1107,0.821,0.17900000000000005
J07A1107,0.825,0.17500000000000004
J07A1107,0.755,0.245
J07A1107,0.883,0.11699999999999999
J07A1107,0.858,0.14200000000000002
J07A1107,0.865,0.135
J07A1107,0.912,0.08799999999999997
J07A1107,0.843,0.15700000000000003
J07A1107,0.851,0.14900000000000002
J07A1107,0.863,0.137
J07A1107,0.887,0.11299999999999999
J07A1107,0.847,0.15300000000000002
J07A1107,0.808,0.19199999999999995
J07A1107,0.825,0.17500000000000004
J07A1107,0.772,0.22799999999999998
J07A1107,0.855,0.14500000000000002
J07A1107,0.827,0.17300000000000004
J07A1107,0.845,0.15500000000000003
J07A1107,0.832,0.16800000000000004
J07A1107,0.858,0.14200000000000002
J07A1107,0.818,0.18200000000000005
J07A1107,0.843,0.15700000000000003
J07A1107,0.803,0.19699999999999995
J07A1107,0.845,0.15500000000000003
J07A1107,0.842,0.15800000000000003
J07A1107,0.83,0.17000000000000004
J07A1107,0.921,0.07899999999999996
J07A1107,0.874,0.126
J07A1107,0.787,0.21299999999999997
J07A1107,0.768,0.23199999999999998
J07A1107,0.77,0.22999999999999998
J07A1107,0.483,0.517
J07A1107,0.854,0.14600000000000002
J07A1107,0.802,0.19799999999999995
J07A1107,0.828,0.17200000000000004
J07A1107,0.861,0.139
J07A1107,0.817,0.18300000000000005
J07A1107,0.84,0.16000000000000003
J07A1107,0.83,0.17000000000000004
J07A1107,0.831,0.16900000000000004
J07A1107,0.844,0.15600000000000003
J07A1107,0.792,0.20799999999999996
J07A1107,0.806,0.19399999999999995
J07A1107,0.764,0.236
J07A1107,0.794,0.20599999999999996
J07A1107,0.88,0.12
J07A1107,0.802,0.19799999999999995
J07A1107,0.795,0.20499999999999996
J07A1107,0.817,0.18300000000000005
J07A1107,0.789,0.21099999999999997
J07A1107,0.751,0.249
J07A1107,0.775,0.22499999999999998
J07A1107,0.726,0.274
J07A1107,0.825,0.17500000000000004
J07A1107,0.782,0.21799999999999997
J07A1107,0.81,0.18999999999999995
J07A1107,0.749,0.251
J07A0934,0.831,0.16900000000000004
J07A0934,0.832,0.16800000000000004
J07A0934,0.804,0.19599999999999995
J07A0934,0.828,0.17200000000000004
J07A0934,0.787,0.21299999999999997
J07A0934,0.763,0.237
J07A0934,0.785,0.21499999999999997
J07A0934,0.736,0.264
J07A0934,0.8,0.19999999999999996
J07A0934,0.789,0.21099999999999997
J07A0934,0.76,0.24
J07A0934,0.792,0.20799999999999996
J07A0934,0.768,0.23199999999999998
J07A0934,0.808,0.19199999999999995
J07A0934,0.8,0.19999999999999996
J07A0934,0.825,0.17500000000000004
J07A0934,0.814,0.18600000000000005
J07A0934,0.829,0.17100000000000004
J07A0934,0.763,0.237
J07A0934,0.82,0.18000000000000005
J07A0934,0.876,0.124
J07A0934,0.788,0.21199999999999997
J07A0934,0.801,0.19899999999999995
J07A0934,0.834,0.16600000000000004
J07A0934,0.813,0.18700000000000006
J07A0934,0.829,0.17100000000000004
J07A0934,0.812,0.18799999999999994
J07A0934,0.811,0.18899999999999995
J07A0934,0.802,0.19799999999999995
J07A0934,0.808,0.19199999999999995
J07A0934,0.817,0.18300000000000005
J07A0934,0.819,0.18100000000000005
J07A0934,0.762,0.238
J07A0934,0.801,0.19899999999999995
J07A0934,0.778,0.22199999999999998
J07A0934,0.831,0.16900000000000004
J07A0934,0.81,0.18999999999999995
J07A0934,0.822,0.17800000000000005
J07A0934,0.806,0.19399999999999995
J07A0934,0.803,0.19699999999999995
J07A0934,0.83,0.17000000000000004
J07A0934,0.783,0.21699999999999997
J07A0934,0.774,0.22599999999999998
J07A0934,0.866,0.134
J07A0934,0.837,0.16300000000000003
J07A0934,0.81,0.18999999999999995
J07A0934,0.79,0.20999999999999996
J07A0934,0.779,0.22099999999999997
J07A0934,0.766,0.23399999999999999
J07A0934,0.765,0.235
J07A0934,0.803,0.19699999999999995
J07A0934,0.762,0.238
J07A0934,0.733,0.267
J07A0934,0.762,0.238
J07A0934,0.806,0.19399999999999995
J07A0934,0.8,0.19999999999999996
J07A0934,0.814,0.18600000000000005
J07A0934,0.829,0.17100000000000004
J07A0934,0.849,0.15100000000000002
J07A0934,0.805,0.19499999999999995
J07A0934,0.791,0.20899999999999996
J07A0934,0.735,0.265
J07A0934,0.77,0.22999999999999998
J07A0934,0.745,0.255
J07A0934,0.73,0.27
J07A0934,0.743,0.257
J07A0934,0.811,0.18899999999999995
J07A0934,0.774,0.22599999999999998
J07A0934,0.793,0.20699999999999996
J07A0934,0.825,0.17500000000000004
J07A0934,0.775,0.22499999999999998
J07A0934,0.758,0.242
J07A0934,0.763,0.237
J07A0934,0.783,0.21699999999999997
J07A0934,0.823,0.17700000000000005
J07A0934,0.793,0.20699999999999996
J07A0934,0.814,0.18600000000000005
J07A0934,0.794,0.20599999999999996
J07A0934,0.785,0.21499999999999997
J07A0934,0.792,0.20799999999999996
J07A0934,0.795,0.20499999999999996
J07A0934,0.77,0.22999999999999998
J07A0934,0.772,0.22799999999999998
J07A0934,0.769,0.23099999999999998
J07A0934,0.812,0.18799999999999994
J07A0934,0.848,0.15200000000000002
J07A0934,0.841,0.15900000000000003
J07A0934,0.779,0.22099999999999997
J07A0934,0.825,0.17500000000000004
J07A0934,0.826,0.17400000000000004
J07A0934,0.814,0.18600000000000005
J07A0934,0.778,0.22199999999999998
J07A0934,0.802,0.19799999999999995
J07A0934,0.812,0.18799999999999994
J07A0934,0.773,0.22699999999999998
J07A0934,0.789,0.21099999999999997
J07A0934,0.752,0.248
J07A1046,0.803,0.19699999999999995
J07A1046,0.747,0.253
J07A1046,0.882,0.118
J07A1046,0.831,0.16900000000000004
J07A1046,0.953,0.04700000000000004
J07A1046,0.796,0.20399999999999996
J07A1046,0.798,0.20199999999999996
J07A1046,0.802,0.19799999999999995
J07A1046,0.888,0.11199999999999999
J07A1046,0.82,0.18000000000000005
J07A1046,0.836,0.16400000000000003
J07A1046,0.877,0.123
J07A1046,0.804,0.19599999999999995
J07A1046,0.84,0.16000000000000003
J07A1046,0.872,0.128
J07A1046,0.902,0.09799999999999998
J07A1046,0.894,0.10599999999999998
J07A1046,0.806,0.19399999999999995
J07A1046,0.862,0.138
J07A1046,0.759,0.241
J07A1046,0.789,0.21099999999999997
J07A1046,0.841,0.15900000000000003
J07A1046,0.849,0.15100000000000002
J07A1046,0.806,0.19399999999999995
J07A1046,0.862,0.138
J07A1046,0.839,0.16100000000000003
J07A1046,0.808,0.19199999999999995
J07A1046,0.778,0.22199999999999998
J07A1046,0.873,0.127
J07A1046,0.887,0.11299999999999999
J07A1046,0.914,0.08599999999999997
J07A1046,0.847,0.15300000000000002
J07A1046,0.777,0.22299999999999998
J07A1046,0.813,0.18700000000000006
J07A1046,0.743,0.257
J07A1046,0.805,0.19499999999999995
J07A1046,0.791,0.20899999999999996
J07A1046,0.772,0.22799999999999998
J07A1046,0.755,0.245
J07A1046,0.854,0.14600000000000002
J07A1046,0.772,0.22799999999999998
J07A1046,0.893,0.10699999999999998
J07A1046,0.756,0.244
J07A1046,0.803,0.19699999999999995
J07A1046,0.948,0.052000000000000046
J07A1046,0.899,0.10099999999999998
J07A1046,0.869,0.131
J07A1046,0.925,0.07499999999999996
J07A1046,0.798,0.20199999999999996
J07A1046,0.782,0.21799999999999997
J07A1046,0.809,0.19099999999999995
J07A1046,0.907,0.09299999999999997
J07A1046,0.794,0.20599999999999996
J07A1046,0.764,0.236
J07A1046,0.783,0.21699999999999997
J07A1046,0.893,0.10699999999999998
J07A1046,0.888,0.11199999999999999
J07A1046,0.833,0.16700000000000004
J07A1046,0.935,0.06499999999999995
J07A1046,0.785,0.21499999999999997
J07A1046,0.783,0.21699999999999997
J07A1046,0.798,0.20199999999999996
J07A1046,0.883,0.11699999999999999
J07A1046,0.796,0.20399999999999996
J07A1046,0.841,0.15900000000000003
J07A1046,0.795,0.20499999999999996
J07A1046,0.897,0.10299999999999998
J07A1046,0.85,0.15000000000000002
J07A1046,0.861,0.139
J07A1046,0.824,0.17600000000000005
J07A1046,0.824,0.17600000000000005
J07A1046,0.802,0.19799999999999995
J07A1046,0.786,0.21399999999999997
J07A1046,0.927,0.07299999999999995
J07A1046,0.764,0.236
J07A1046,0.827,0.17300000000000004
J07A1046,0.808,0.19199999999999995
J07A1046,0.872,0.128
J07A1046,0.804,0.19599999999999995
J07A1046,0.904,0.09599999999999997
J07A1046,0.835,0.16500000000000004
J07A1046,0.851,0.14900000000000002
J07A1046,0.815,0.18500000000000005
J07A1046,0.837,0.16300000000000003
J07A1046,0.819,0.18100000000000005
J07A1046,0.835,0.16500000000000004
J07A1046,0.838,0.16200000000000003
J07A1046,0.818,0.18200000000000005
J07A1046,0.846,0.15400000000000003
J07A1046,0.806,0.19399999999999995
J07A1046,0.799,0.20099999999999996
J07A1046,0.829,0.17100000000000004
J07A1046,0.873,0.127
J07A1046,0.805,0.19499999999999995
J07A1046,0.851,0.14900000000000002
J07A1046,0.792,0.20799999999999996
J07A1046,0.889,0.11099999999999999
J07A1046,0.815,0.18500000000000005
J07A1046,0.839,0.16100000000000003
J07A1046,0.784,0.21599999999999997
J07A1046,0.877,0.123
J07A1046,0.809,0.19099999999999995
J07A1046,0.856,0.14400000000000002
J07A1046,0.845,0.15500000000000003
J07A1046,0.827,0.17300000000000004
J07A1046,0.833,0.16700000000000004
J07A1046,0.872,0.128
J07A1046,0.847,0.15300000000000002
J07A1046,0.854,0.14600000000000002
J07A1046,0.804,0.19599999999999995
J07A1046,0.781,0.21899999999999997
J07A1046,0.941,0.05900000000000005
J07A1046,0.728,0.272
J07A1046,0.73,0.27
J07A1046,0.849,0.15100000000000002
J07A1046,0.753,0.247
J07A1046,0.778,0.22199999999999998
J07A1046,0.844,0.15600000000000003
J07A1046,0.86,0.14
J07A1046,0.86,0.14
J07A1046,0.842,0.15800000000000003
J07A1046,0.868,0.132
J07A1046,0.806,0.19399999999999995
J07A1046,0.834,0.16600000000000004
J07A1046,0.782,0.21799999999999997
J07A1046,0.781,0.21899999999999997
J07A1046,0.883,0.11699999999999999
J07A1046,0.85,0.15000000000000002
J07A1046,0.803,0.19699999999999995
J07A1046,0.794,0.20599999999999996
J07A1046,0.792,0.20799999999999996
J07A1046,0.855,0.14500000000000002
J07A1046,0.804,0.19599999999999995
J07A1046,0.853,0.14700000000000002
J07A1046,0.916,0.08399999999999996
J07A1046,0.828,0.17200000000000004
J07A1046,0.879,0.121
J07A1046,0.861,0.139
J07A1046,0.827,0.17300000000000004
J07A1046,0.836,0.16400000000000003
